,0,path
0,0,19062421/S001/L1/E01/C5
1,0,19062421/S001/L1/E01/C6
2,0,19062421/S001/L1/E01/C7
3,0,19062421/S001/L1/E01/C8
4,0,19062421/S001/L1/E01/C9
5,0,19062421/S001/L1/E02/C5
6,0,19062421/S001/L1/E02/C6
7,0,19062421/S001/L1/E02/C7
8,0,19062421/S001/L1/E02/C8
9,0,19062421/S001/L1/E02/C9
10,0,19062421/S001/L2/E01/C5
11,0,19062421/S001/L2/E01/C6
12,0,19062421/S001/L2/E01/C7
13,0,19062421/S001/L2/E01/C8
14,0,19062421/S001/L2/E01/C9
15,0,19062421/S001/L2/E02/C5
16,0,19062421/S001/L2/E02/C6
17,0,19062421/S001/L2/E02/C7
18,0,19062421/S001/L2/E02/C8
19,0,19062421/S001/L2/E02/C9
20,0,19062421/S001/L3/E01/C5
21,0,19062421/S001/L3/E01/C6
22,0,19062421/S001/L3/E01/C7
23,0,19062421/S001/L3/E01/C8
24,0,19062421/S001/L3/E01/C9
25,0,19062421/S001/L3/E02/C5
26,0,19062421/S001/L3/E02/C6
27,0,19062421/S001/L3/E02/C7
28,0,19062421/S001/L3/E02/C8
29,0,19062421/S001/L3/E02/C9
30,0,19062421/S001/L4/E01/C5
31,0,19062421/S001/L4/E01/C6
32,0,19062421/S001/L4/E01/C7
33,0,19062421/S001/L4/E01/C8
34,0,19062421/S001/L4/E01/C9
35,0,19062421/S001/L4/E02/C5
36,0,19062421/S001/L4/E02/C6
37,0,19062421/S001/L4/E02/C7
38,0,19062421/S001/L4/E02/C8
39,0,19062421/S001/L4/E02/C9
40,0,19062421/S001/L5/E01/C5
41,0,19062421/S001/L5/E01/C6
42,0,19062421/S001/L5/E01/C7
43,0,19062421/S001/L5/E01/C8
44,0,19062421/S001/L5/E01/C9
45,0,19062421/S001/L5/E02/C5
46,0,19062421/S001/L5/E02/C6
47,0,19062421/S001/L5/E02/C7
48,0,19062421/S001/L5/E02/C8
49,0,19062421/S001/L5/E02/C9
50,0,19062421/S001/L6/E01/C5
51,0,19062421/S001/L6/E01/C6
52,0,19062421/S001/L6/E01/C7
53,0,19062421/S001/L6/E01/C8
54,0,19062421/S001/L6/E01/C9
55,0,19062421/S001/L6/E02/C5
56,0,19062421/S001/L6/E02/C6
57,0,19062421/S001/L6/E02/C7
58,0,19062421/S001/L6/E02/C8
59,0,19062421/S001/L6/E02/C9
60,0,19062421/S001/L7/E01/C5
61,0,19062421/S001/L7/E01/C6
62,0,19062421/S001/L7/E01/C7
63,0,19062421/S001/L7/E01/C8
64,0,19062421/S001/L7/E01/C9
65,0,19062421/S001/L7/E02/C5
66,0,19062421/S001/L7/E02/C6
67,0,19062421/S001/L7/E02/C7
68,0,19062421/S001/L7/E02/C8
69,0,19062421/S001/L7/E02/C9
70,0,19062421/S001/L8/E01/C5
71,0,19062421/S001/L8/E01/C6
72,0,19062421/S001/L8/E01/C7
73,0,19062421/S001/L8/E01/C8
74,0,19062421/S001/L8/E01/C9
75,0,19062421/S001/L8/E02/C5
76,0,19062421/S001/L8/E02/C6
77,0,19062421/S001/L8/E02/C7
78,0,19062421/S001/L8/E02/C8
79,0,19062421/S001/L8/E02/C9
80,0,19062421/S001/L9/E01/C5
81,0,19062421/S001/L9/E01/C6
82,0,19062421/S001/L9/E01/C7
83,0,19062421/S001/L9/E01/C8
84,0,19062421/S001/L9/E01/C9
85,0,19062421/S001/L9/E02/C5
86,0,19062421/S001/L9/E02/C6
87,0,19062421/S001/L9/E02/C7
88,0,19062421/S001/L9/E02/C8
89,0,19062421/S001/L9/E02/C9
90,0,19062421/S001/L10/E01/C5
91,0,19062421/S001/L10/E01/C6
92,0,19062421/S001/L10/E01/C7
93,0,19062421/S001/L10/E01/C8
94,0,19062421/S001/L10/E01/C9
95,0,19062421/S001/L10/E02/C5
96,0,19062421/S001/L10/E02/C6
97,0,19062421/S001/L10/E02/C7
98,0,19062421/S001/L10/E02/C8
99,0,19062421/S001/L10/E02/C9
100,0,19062421/S001/L11/E01/C5
101,0,19062421/S001/L11/E01/C6
102,0,19062421/S001/L11/E01/C7
103,0,19062421/S001/L11/E01/C8
104,0,19062421/S001/L11/E01/C9
105,0,19062421/S001/L11/E02/C5
106,0,19062421/S001/L11/E02/C6
107,0,19062421/S001/L11/E02/C7
108,0,19062421/S001/L11/E02/C8
109,0,19062421/S001/L11/E02/C9
110,0,19062421/S001/L12/E01/C5
111,0,19062421/S001/L12/E01/C6
112,0,19062421/S001/L12/E01/C7
113,0,19062421/S001/L12/E01/C8
114,0,19062421/S001/L12/E01/C9
115,0,19062421/S001/L12/E02/C5
116,0,19062421/S001/L12/E02/C6
117,0,19062421/S001/L12/E02/C7
118,0,19062421/S001/L12/E02/C8
119,0,19062421/S001/L12/E02/C9
120,0,19062421/S001/L13/E01/C5
121,0,19062421/S001/L13/E01/C6
122,0,19062421/S001/L13/E01/C7
123,0,19062421/S001/L13/E01/C8
124,0,19062421/S001/L13/E01/C9
125,0,19062421/S001/L13/E02/C5
126,0,19062421/S001/L13/E02/C6
127,0,19062421/S001/L13/E02/C7
128,0,19062421/S001/L13/E02/C8
129,0,19062421/S001/L13/E02/C9
130,0,19062421/S001/L14/E01/C5
131,0,19062421/S001/L14/E01/C6
132,0,19062421/S001/L14/E01/C7
133,0,19062421/S001/L14/E01/C8
134,0,19062421/S001/L14/E01/C9
135,0,19062421/S001/L14/E02/C5
136,0,19062421/S001/L14/E02/C6
137,0,19062421/S001/L14/E02/C7
138,0,19062421/S001/L14/E02/C8
139,0,19062421/S001/L14/E02/C9
140,0,19062421/S001/L15/E01/C5
141,0,19062421/S001/L15/E01/C6
142,0,19062421/S001/L15/E01/C7
143,0,19062421/S001/L15/E01/C8
144,0,19062421/S001/L15/E01/C9
145,0,19062421/S001/L15/E02/C5
146,0,19062421/S001/L15/E02/C6
147,0,19062421/S001/L15/E02/C7
148,0,19062421/S001/L15/E02/C8
149,0,19062421/S001/L15/E02/C9
150,0,19062421/S001/L16/E01/C5
151,0,19062421/S001/L16/E01/C6
152,0,19062421/S001/L16/E01/C7
153,0,19062421/S001/L16/E01/C8
154,0,19062421/S001/L16/E01/C9
155,0,19062421/S001/L16/E02/C5
156,0,19062421/S001/L16/E02/C6
157,0,19062421/S001/L16/E02/C7
158,0,19062421/S001/L16/E02/C8
159,0,19062421/S001/L16/E02/C9
160,0,19062421/S001/L17/E01/C5
161,0,19062421/S001/L17/E01/C6
162,0,19062421/S001/L17/E01/C7
163,0,19062421/S001/L17/E01/C8
164,0,19062421/S001/L17/E01/C9
165,0,19062421/S001/L17/E02/C5
166,0,19062421/S001/L17/E02/C6
167,0,19062421/S001/L17/E02/C7
168,0,19062421/S001/L17/E02/C8
169,0,19062421/S001/L17/E02/C9
170,0,19062421/S001/L18/E01/C5
171,0,19062421/S001/L18/E01/C6
172,0,19062421/S001/L18/E01/C7
173,0,19062421/S001/L18/E01/C8
174,0,19062421/S001/L18/E01/C9
175,0,19062421/S001/L18/E02/C5
176,0,19062421/S001/L18/E02/C6
177,0,19062421/S001/L18/E02/C7
178,0,19062421/S001/L18/E02/C8
179,0,19062421/S001/L18/E02/C9
180,0,19062421/S001/L19/E01/C5
181,0,19062421/S001/L19/E01/C6
182,0,19062421/S001/L19/E01/C7
183,0,19062421/S001/L19/E01/C8
184,0,19062421/S001/L19/E01/C9
185,0,19062421/S001/L19/E02/C5
186,0,19062421/S001/L19/E02/C6
187,0,19062421/S001/L19/E02/C7
188,0,19062421/S001/L19/E02/C8
189,0,19062421/S001/L19/E02/C9
190,0,19062421/S001/L20/E01/C5
191,0,19062421/S001/L20/E01/C6
192,0,19062421/S001/L20/E01/C7
193,0,19062421/S001/L20/E01/C8
194,0,19062421/S001/L20/E01/C9
195,0,19062421/S001/L20/E02/C5
196,0,19062421/S001/L20/E02/C6
197,0,19062421/S001/L20/E02/C7
198,0,19062421/S001/L20/E02/C8
199,0,19062421/S001/L20/E02/C9
200,0,19062421/S001/L21/E01/C5
201,0,19062421/S001/L21/E01/C6
202,0,19062421/S001/L21/E01/C7
203,0,19062421/S001/L21/E01/C8
204,0,19062421/S001/L21/E01/C9
205,0,19062421/S001/L21/E02/C5
206,0,19062421/S001/L21/E02/C6
207,0,19062421/S001/L21/E02/C7
208,0,19062421/S001/L21/E02/C8
209,0,19062421/S001/L21/E02/C9
210,0,19062421/S001/L22/E01/C5
211,0,19062421/S001/L22/E01/C6
212,0,19062421/S001/L22/E01/C7
213,0,19062421/S001/L22/E01/C8
214,0,19062421/S001/L22/E01/C9
215,0,19062421/S001/L22/E02/C5
216,0,19062421/S001/L22/E02/C6
217,0,19062421/S001/L22/E02/C7
218,0,19062421/S001/L22/E02/C8
219,0,19062421/S001/L22/E02/C9
220,0,19062421/S001/L23/E01/C5
221,0,19062421/S001/L23/E01/C6
222,0,19062421/S001/L23/E01/C7
223,0,19062421/S001/L23/E01/C8
224,0,19062421/S001/L23/E01/C9
225,0,19062421/S001/L23/E02/C5
226,0,19062421/S001/L23/E02/C6
227,0,19062421/S001/L23/E02/C7
228,0,19062421/S001/L23/E02/C8
229,0,19062421/S001/L23/E02/C9
230,0,19062421/S001/L24/E01/C5
231,0,19062421/S001/L24/E01/C6
232,0,19062421/S001/L24/E01/C7
233,0,19062421/S001/L24/E01/C8
234,0,19062421/S001/L24/E01/C9
235,0,19062421/S001/L24/E02/C5
236,0,19062421/S001/L24/E02/C6
237,0,19062421/S001/L24/E02/C7
238,0,19062421/S001/L24/E02/C8
239,0,19062421/S001/L24/E02/C9
240,0,19062421/S001/L25/E01/C5
241,0,19062421/S001/L25/E01/C6
242,0,19062421/S001/L25/E01/C7
243,0,19062421/S001/L25/E01/C8
244,0,19062421/S001/L25/E01/C9
245,0,19062421/S001/L25/E02/C5
246,0,19062421/S001/L25/E02/C6
247,0,19062421/S001/L25/E02/C7
248,0,19062421/S001/L25/E02/C8
249,0,19062421/S001/L25/E02/C9
250,0,19062421/S001/L26/E01/C5
251,0,19062421/S001/L26/E01/C6
252,0,19062421/S001/L26/E01/C7
253,0,19062421/S001/L26/E01/C8
254,0,19062421/S001/L26/E01/C9
255,0,19062421/S001/L26/E02/C5
256,0,19062421/S001/L26/E02/C6
257,0,19062421/S001/L26/E02/C7
258,0,19062421/S001/L26/E02/C8
259,0,19062421/S001/L26/E02/C9
260,0,19062421/S001/L27/E01/C5
261,0,19062421/S001/L27/E01/C6
262,0,19062421/S001/L27/E01/C7
263,0,19062421/S001/L27/E01/C8
264,0,19062421/S001/L27/E01/C9
265,0,19062421/S001/L27/E02/C5
266,0,19062421/S001/L27/E02/C6
267,0,19062421/S001/L27/E02/C7
268,0,19062421/S001/L27/E02/C8
269,0,19062421/S001/L27/E02/C9
270,0,19062421/S001/L28/E01/C5
271,0,19062421/S001/L28/E01/C6
272,0,19062421/S001/L28/E01/C7
273,0,19062421/S001/L28/E01/C8
274,0,19062421/S001/L28/E01/C9
275,0,19062421/S001/L28/E02/C5
276,0,19062421/S001/L28/E02/C6
277,0,19062421/S001/L28/E02/C7
278,0,19062421/S001/L28/E02/C8
279,0,19062421/S001/L28/E02/C9
280,0,19062421/S001/L29/E01/C5
281,0,19062421/S001/L29/E01/C6
282,0,19062421/S001/L29/E01/C7
283,0,19062421/S001/L29/E01/C8
284,0,19062421/S001/L29/E01/C9
285,0,19062421/S001/L29/E02/C5
286,0,19062421/S001/L29/E02/C6
